timestamp,x,y,yaw,q_w,q_x,q_y,q_z
1732722706.081003996,0.362348,0.0228186,0.22401,0.993734,0,0,0.111771
1732722706.081041563,0.44789,0.0423964,0.226953,0.993568,0,0,0.113233
1732722706.081052111,0.533746,0.0625764,0.235693,0.993064,0,0,0.117574
1732722706.081061084,0.620232,0.0839611,0.24997,0.9922,0,0,0.12466
1732722706.081069835,0.707661,0.107153,0.26936,0.990944,0,0,0.134273
1732722706.081077895,0.796349,0.132753,0.293298,0.989266,0,0,0.146124
1732722706.081086112,0.886609,0.161366,0.321107,0.987139,0,0,0.159864
1732722706.081094833,0.978757,0.193592,0.352027,0.98455,0,0,0.175106
1732722706.081104063,1.07311,0.230034,0.385266,0.981504,0,0,0.191444
1732722706.081112993,1.16997,0.271294,0.420032,0.978028,0,0,0.208475
1732722706.081121562,1.26967,0.317975,0.455579,0.974168,0,0,0.225825
1732722706.081130311,1.37238,0.370546,0.489824,0.970159,0,0,0.242471
1732722706.081138904,1.47777,0.428942,0.521625,0.966181,0,0,0.257866
1732722706.081147465,1.58535,0.492966,0.551586,0.96221,0,0,0.27231
1732722706.081156204,1.69465,0.56242,0.580191,0.958217,0,0,0.286044
1732722706.081165018,1.8052,0.637107,0.607841,0.954171,0,0,0.299263
1732722706.081174849,1.91653,0.716829,0.634874,0.950039,0,0,0.312132
1732722706.081183914,2.02816,0.801388,0.66158,0.945786,0,0,0.324791
1732722706.081192729,2.13961,0.890587,0.688221,0.941376,0,0,0.337359
1732722706.081201492,2.25042,0.984229,0.715031,0.936769,0,0,0.349948
1732722706.081210257,2.36011,1.08212,0.742233,0.931923,0,0,0.362656
1732722706.081219091,2.46821,1.18392,0.76784,0.927203,0,0,0.374558
1732722706.081229134,2.57437,1.28877,0.790062,0.922985,0,0,0.384837
1732722706.081237216,2.67822,1.39568,0.809323,0.919236,0,0,0.393707
1732722706.081245178,2.7794,1.50365,0.825947,0.915932,0,0,0.401335
1732722706.081253196,2.87757,1.61168,0.840176,0.913053,0,0,0.407841
1732722706.081261088,2.97236,1.71879,0.852172,0.91059,0,0,0.41331
1732722706.081268967,3.06341,1.82397,0.862022,0.908544,0,0,0.41779
1732722706.081276827,3.15038,1.92623,0.869732,0.906927,0,0,0.421289
1732722706.081284892,3.23291,2.02457,0.875205,0.90577,0,0,0.423769
1732722706.081292911,3.31063,2.11801,0.87822,0.90513,0,0,0.425134
1732722706.081300875,3.38335,2.2058,0.87991,0.904771,0,0,0.425899
1732722706.081318442,3.45143,2.28828,0.881629,0.904404,0,0,0.426676
1732722706.081327848,3.51538,2.36603,0.88334,0.904039,0,0,0.42745
1732722706.081335975,3.57572,2.43965,0.884998,0.903684,0,0,0.428199
1732722706.081343853,3.63297,2.50972,0.88655,0.903352,0,0,0.4289
1732722706.081351761,3.68764,2.57684,0.887937,0.903054,0,0,0.429527
1732722706.081359521,3.74025,2.6416,0.889099,0.902805,0,0,0.430051
1732722706.081367372,3.79131,2.70458,0.889977,0.902616,0,0,0.430447
1732722706.081375176,3.84135,2.76639,0.890525,0.902498,0,0,0.430695
1732722706.081382943,3.89086,2.8276,0.890711,0.902458,0,0,0.430779
